Namespace(annpath='train.json', bs=32, clip_len=16, cuda=True, dataparallel=True, emb_init='../wordvectors/glove.840B.300d-char.txt', embedding_size=300, feature_size=8192, framepath='frames', ft_begin_index=0, imsize=224, log_every=10, lr=0.0001, lstm_memory=512, lstm_pretrain_ep=0, lstm_stacks=1, manual_seed=1, max_epochs=1000, max_seqlen=30, meta_path='videometa_train.json', mode='train', model_path='../models', modeldepth=18, modelname='resnet', momentum=0.9, n_classes=400, n_cpu=8, n_finetune_classes=400, norm_value=1, num_layers=18, patience=10, pretrain_path='../models/resnet-18-kinetics.pth', resnet_shortcut='A', resnext_cardinality=32, rnnmethod='LSTM', root_path='/ssd1/dsets/activitynet_captions', sample_duration=16, sample_size=112, start_from_ep=0, token_level=False, vocabpath='vocab.json', wide_resnet_k=2)
loaded dictionary from /ssd1/dsets/activitynet_captions/vocab.json
dictionary length: 11181 words
succesfully initialized embeddings from ../wordvectors/glove.840B.300d-char.txt
using 4 gpus...
# of params in model : 46450405
start decoder pretraining, doing for 0 epochs
start training
iter 000010/000283 | nll loss: 9.3273 | 1.7958s per loop
/home/seito/anaconda3/envs/anetchallenge/lib/python3.6/site-packages/torch/nn/parallel/_functions.py:61: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '
iter 000010/000283 | nll loss: 9.2945 | 0.9186s per loop
iter 000020/000283 | nll loss: 9.2934 | 0.5888s per loop
iter 000030/000283 | nll loss: 9.2999 | 0.6057s per loop
iter 000040/000283 | nll loss: 9.2975 | 0.6235s per loop
iter 000050/000283 | nll loss: 9.2936 | 0.6072s per loop
iter 000060/000283 | nll loss: 9.3024 | 0.6265s per loop
iter 000070/000283 | nll loss: 9.2896 | 0.5891s per loop
iter 000080/000283 | nll loss: 9.2980 | 0.6049s per loop
iter 000090/000283 | nll loss: 9.2909 | 0.6041s per loop
iter 000100/000283 | nll loss: 9.2816 | 0.5844s per loop
iter 000110/000283 | nll loss: 9.2898 | 0.5769s per loop
iter 000120/000283 | nll loss: 9.2966 | 0.6045s per loop
iter 000130/000283 | nll loss: 9.2799 | 0.6056s per loop
iter 000140/000283 | nll loss: 9.2838 | 0.6095s per loop
iter 000150/000283 | nll loss: 9.2930 | 0.6517s per loop
iter 000160/000283 | nll loss: 9.2824 | 0.6474s per loop
iter 000170/000283 | nll loss: 9.2853 | 0.6688s per loop
iter 000180/000283 | nll loss: 9.2867 | 0.6436s per loop
iter 000190/000283 | nll loss: 9.2892 | 0.6447s per loop
iter 000200/000283 | nll loss: 9.2864 | 0.6553s per loop
iter 000210/000283 | nll loss: 9.2875 | 0.6353s per loop
iter 000220/000283 | nll loss: 9.2747 | 0.6394s per loop
iter 000230/000283 | nll loss: 9.2856 | 0.6457s per loop
iter 000240/000283 | nll loss: 9.2765 | 0.6010s per loop
iter 000250/000283 | nll loss: 9.2799 | 0.6269s per loop
iter 000260/000283 | nll loss: 9.2856 | 0.6146s per loop
iter 000270/000283 | nll loss: 9.2760 | 0.6307s per loop
iter 000280/000283 | nll loss: 9.2776 | 0.5749s per loop
epoch 0002/1000 done, loss: 9.274249
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0002.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0002.ckpt
iter 000010/000283 | nll loss: 9.2768 | 0.9201s per loop
iter 000020/000283 | nll loss: 9.2678 | 0.7078s per loop
iter 000030/000283 | nll loss: 9.2742 | 0.6610s per loop
iter 000040/000283 | nll loss: 9.2734 | 0.6579s per loop
iter 000050/000283 | nll loss: 9.2709 | 0.7168s per loop
iter 000060/000283 | nll loss: 9.2699 | 0.6566s per loop
iter 000070/000283 | nll loss: 9.2694 | 0.6597s per loop
iter 000080/000283 | nll loss: 9.2526 | 0.6480s per loop
iter 000090/000283 | nll loss: 9.2514 | 0.6389s per loop
iter 000100/000283 | nll loss: 9.2654 | 0.6222s per loop
iter 000110/000283 | nll loss: 9.2664 | 0.6526s per loop
iter 000120/000283 | nll loss: 9.2639 | 0.6621s per loop
iter 000130/000283 | nll loss: 9.2605 | 0.6525s per loop
iter 000140/000283 | nll loss: 9.2576 | 0.6746s per loop
iter 000150/000283 | nll loss: 9.2621 | 0.6543s per loop
iter 000160/000283 | nll loss: 9.2591 | 0.6547s per loop
iter 000170/000283 | nll loss: 9.2610 | 0.6483s per loop
iter 000180/000283 | nll loss: 9.2442 | 0.6274s per loop
iter 000190/000283 | nll loss: 9.2541 | 0.6438s per loop
iter 000200/000283 | nll loss: 9.2538 | 0.6786s per loop
iter 000210/000283 | nll loss: 9.2551 | 0.6419s per loop
iter 000220/000283 | nll loss: 9.2634 | 0.6942s per loop
iter 000230/000283 | nll loss: 9.2479 | 0.6896s per loop
iter 000240/000283 | nll loss: 9.2478 | 0.6652s per loop
iter 000250/000283 | nll loss: 9.2562 | 0.6750s per loop
iter 000260/000283 | nll loss: 9.2531 | 0.6909s per loop
iter 000270/000283 | nll loss: 9.2469 | 0.6780s per loop
iter 000280/000283 | nll loss: 9.2406 | 0.6305s per loop
epoch 0003/1000 done, loss: 9.253233
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0003.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0003.ckpt
iter 000010/000283 | nll loss: 9.2537 | 0.9844s per loop
iter 000020/000283 | nll loss: 9.2363 | 0.6887s per loop
iter 000030/000283 | nll loss: 9.2459 | 0.7012s per loop
iter 000040/000283 | nll loss: 9.2292 | 0.6541s per loop
iter 000050/000283 | nll loss: 9.2356 | 0.6628s per loop
iter 000060/000283 | nll loss: 9.2400 | 0.6814s per loop
iter 000070/000283 | nll loss: 9.2485 | 0.6899s per loop
iter 000080/000283 | nll loss: 9.2376 | 0.6770s per loop
iter 000090/000283 | nll loss: 9.2516 | 0.6591s per loop
iter 000100/000283 | nll loss: 9.2326 | 0.7040s per loop
iter 000110/000283 | nll loss: 9.2378 | 0.6858s per loop
iter 000120/000283 | nll loss: 9.2254 | 0.7113s per loop
iter 000130/000283 | nll loss: 9.2381 | 0.6619s per loop
iter 000140/000283 | nll loss: 9.2391 | 0.7185s per loop
iter 000150/000283 | nll loss: 9.2305 | 0.6401s per loop
iter 000160/000283 | nll loss: 9.2287 | 0.6443s per loop
iter 000170/000283 | nll loss: 9.2266 | 0.6647s per loop
iter 000180/000283 | nll loss: 9.2178 | 0.6487s per loop
iter 000190/000283 | nll loss: 9.2277 | 0.6232s per loop
iter 000200/000283 | nll loss: 9.2298 | 0.6708s per loop
iter 000210/000283 | nll loss: 9.2450 | 0.6529s per loop
iter 000220/000283 | nll loss: 9.2134 | 0.6759s per loop
iter 000230/000283 | nll loss: 9.2193 | 0.6663s per loop
iter 000240/000283 | nll loss: 9.2089 | 0.6718s per loop
iter 000250/000283 | nll loss: 9.2200 | 0.6433s per loop
iter 000260/000283 | nll loss: 9.2306 | 0.6735s per loop
iter 000270/000283 | nll loss: 9.2200 | 0.6871s per loop
iter 000280/000283 | nll loss: 9.2213 | 0.6094s per loop
epoch 0004/1000 done, loss: 9.232685
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0004.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0004.ckpt
iter 000010/000283 | nll loss: 9.2295 | 0.9772s per loop
iter 000020/000283 | nll loss: 9.2092 | 0.6580s per loop
iter 000030/000283 | nll loss: 9.2038 | 0.6870s per loop
iter 000040/000283 | nll loss: 9.2008 | 0.6836s per loop
iter 000050/000283 | nll loss: 9.2093 | 0.6960s per loop
iter 000060/000283 | nll loss: 9.1979 | 0.6666s per loop
iter 000070/000283 | nll loss: 9.2116 | 0.6552s per loop
iter 000080/000283 | nll loss: 9.2011 | 0.6518s per loop
iter 000090/000283 | nll loss: 9.2039 | 0.6766s per loop
iter 000100/000283 | nll loss: 9.2104 | 0.6523s per loop
iter 000110/000283 | nll loss: 9.2133 | 0.6448s per loop
iter 000120/000283 | nll loss: 9.1944 | 0.6681s per loop
iter 000130/000283 | nll loss: 9.2027 | 0.6399s per loop
iter 000140/000283 | nll loss: 9.2113 | 0.6557s per loop
iter 000150/000283 | nll loss: 9.1946 | 0.6596s per loop
iter 000160/000283 | nll loss: 9.1767 | 0.6772s per loop
iter 000170/000283 | nll loss: 9.1700 | 0.6943s per loop
iter 000180/000283 | nll loss: 9.1950 | 0.6872s per loop
iter 000190/000283 | nll loss: 9.1895 | 0.6770s per loop
iter 000200/000283 | nll loss: 9.1902 | 0.6627s per loop
iter 000210/000283 | nll loss: 9.1753 | 0.6744s per loop
iter 000220/000283 | nll loss: 9.1998 | 0.6500s per loop
iter 000230/000283 | nll loss: 9.1858 | 0.6629s per loop
iter 000240/000283 | nll loss: 9.1845 | 0.6616s per loop
iter 000250/000283 | nll loss: 9.1674 | 0.6317s per loop
iter 000260/000283 | nll loss: 9.1746 | 0.6588s per loop
iter 000270/000283 | nll loss: 9.1843 | 0.6400s per loop
iter 000280/000283 | nll loss: 9.1856 | 0.6087s per loop
epoch 0005/1000 done, loss: 9.174562
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0005.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0005.ckpt
iter 000010/000283 | nll loss: 9.1697 | 0.9628s per loop
iter 000020/000283 | nll loss: 9.2032 | 0.6504s per loop
iter 000030/000283 | nll loss: 9.1492 | 0.6769s per loop
iter 000040/000283 | nll loss: 9.1634 | 0.6516s per loop
iter 000050/000283 | nll loss: 9.1848 | 0.6531s per loop
iter 000060/000283 | nll loss: 9.1808 | 0.6821s per loop
iter 000070/000283 | nll loss: 9.1697 | 0.6498s per loop
iter 000080/000283 | nll loss: 9.1682 | 0.6504s per loop
iter 000090/000283 | nll loss: 9.1573 | 0.6597s per loop
iter 000100/000283 | nll loss: 9.1665 | 0.6445s per loop
iter 000110/000283 | nll loss: 9.1658 | 0.6672s per loop
iter 000120/000283 | nll loss: 9.1696 | 0.6650s per loop
iter 000130/000283 | nll loss: 9.1477 | 0.6729s per loop
iter 000140/000283 | nll loss: 9.1474 | 0.6893s per loop
iter 000150/000283 | nll loss: 9.1544 | 0.6907s per loop
iter 000160/000283 | nll loss: 9.1609 | 0.6795s per loop
iter 000170/000283 | nll loss: 9.1184 | 0.6742s per loop
iter 000180/000283 | nll loss: 9.1476 | 0.6470s per loop
iter 000190/000283 | nll loss: 9.1484 | 0.6797s per loop
iter 000200/000283 | nll loss: 9.1478 | 0.6847s per loop
iter 000210/000283 | nll loss: 9.1254 | 0.6555s per loop
iter 000220/000283 | nll loss: 9.1566 | 0.6693s per loop
iter 000230/000283 | nll loss: 9.1209 | 0.6908s per loop
iter 000240/000283 | nll loss: 9.1345 | 0.7006s per loop
iter 000250/000283 | nll loss: 9.1362 | 0.6844s per loop
iter 000260/000283 | nll loss: 9.1168 | 0.6784s per loop
iter 000270/000283 | nll loss: 9.1558 | 0.6834s per loop
iter 000280/000283 | nll loss: 9.1406 | 0.6281s per loop
epoch 0006/1000 done, loss: 9.107970
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0006.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0006.ckpt
iter 000010/000283 | nll loss: 9.1304 | 1.0157s per loop
iter 000020/000283 | nll loss: 9.1473 | 0.6964s per loop
iter 000030/000283 | nll loss: 9.1368 | 0.6992s per loop
iter 000040/000283 | nll loss: 9.1396 | 0.7049s per loop
iter 000050/000283 | nll loss: 9.1207 | 0.6765s per loop
iter 000060/000283 | nll loss: 9.1033 | 0.6530s per loop
iter 000070/000283 | nll loss: 9.0848 | 0.6528s per loop
iter 000080/000283 | nll loss: 9.1243 | 0.6733s per loop
iter 000090/000283 | nll loss: 9.0908 | 0.6516s per loop
iter 000100/000283 | nll loss: 9.0942 | 0.6666s per loop
iter 000110/000283 | nll loss: 9.0731 | 0.6772s per loop
iter 000120/000283 | nll loss: 9.0830 | 0.6684s per loop
iter 000130/000283 | nll loss: 9.1009 | 0.6665s per loop
iter 000140/000283 | nll loss: 9.1155 | 0.6658s per loop
iter 000150/000283 | nll loss: 9.1133 | 0.6646s per loop
iter 000160/000283 | nll loss: 9.0665 | 0.6569s per loop
iter 000170/000283 | nll loss: 9.1189 | 0.6467s per loop
iter 000180/000283 | nll loss: 9.0843 | 0.6745s per loop
iter 000190/000283 | nll loss: 9.0943 | 0.6688s per loop
iter 000200/000283 | nll loss: 9.0939 | 0.6560s per loop
iter 000210/000283 | nll loss: 9.1020 | 0.6698s per loop
iter 000220/000283 | nll loss: 9.1061 | 0.6648s per loop
iter 000230/000283 | nll loss: 9.0942 | 0.6959s per loop
iter 000240/000283 | nll loss: 9.0842 | 0.6708s per loop
iter 000250/000283 | nll loss: 9.0534 | 0.6874s per loop
iter 000260/000283 | nll loss: 9.0461 | 0.6784s per loop
iter 000270/000283 | nll loss: 9.0859 | 0.6838s per loop
iter 000280/000283 | nll loss: 9.0977 | 0.6343s per loop
epoch 0007/1000 done, loss: 9.040439
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0007.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0007.ckpt
iter 000010/000283 | nll loss: 9.0520 | 1.0431s per loop
iter 000020/000283 | nll loss: 9.0477 | 0.6670s per loop
iter 000030/000283 | nll loss: 9.0704 | 0.6556s per loop
iter 000040/000283 | nll loss: 9.0621 | 0.7357s per loop
iter 000050/000283 | nll loss: 9.0236 | 0.6721s per loop
iter 000060/000283 | nll loss: 9.0603 | 0.6878s per loop
iter 000070/000283 | nll loss: 9.0435 | 0.6685s per loop
iter 000080/000283 | nll loss: 9.0504 | 0.6651s per loop
iter 000090/000283 | nll loss: 9.0515 | 0.6733s per loop
iter 000100/000283 | nll loss: 9.0403 | 0.6798s per loop
iter 000110/000283 | nll loss: 9.0645 | 0.6547s per loop
iter 000120/000283 | nll loss: 9.0541 | 0.6326s per loop
iter 000130/000283 | nll loss: 9.0391 | 0.6332s per loop
iter 000140/000283 | nll loss: 9.0301 | 0.6679s per loop
iter 000150/000283 | nll loss: 9.0751 | 0.6369s per loop
iter 000160/000283 | nll loss: 9.0358 | 0.7016s per loop
iter 000170/000283 | nll loss: 9.0409 | 0.6759s per loop
iter 000180/000283 | nll loss: 9.0292 | 0.6838s per loop
iter 000190/000283 | nll loss: 9.0121 | 0.6736s per loop
iter 000200/000283 | nll loss: 9.0124 | 0.6702s per loop
iter 000210/000283 | nll loss: 9.0360 | 0.6959s per loop
iter 000220/000283 | nll loss: 8.9868 | 0.6791s per loop
iter 000230/000283 | nll loss: 9.0091 | 0.6718s per loop
iter 000240/000283 | nll loss: 9.0178 | 0.6901s per loop
iter 000250/000283 | nll loss: 9.0147 | 0.6752s per loop
iter 000260/000283 | nll loss: 9.0074 | 0.6611s per loop
iter 000270/000283 | nll loss: 9.0107 | 0.6753s per loop
iter 000280/000283 | nll loss: 9.0086 | 0.6172s per loop
epoch 0008/1000 done, loss: 9.050992
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0008.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0008.ckpt
iter 000010/000283 | nll loss: 8.9966 | 1.0636s per loop
iter 000020/000283 | nll loss: 8.9740 | 0.6820s per loop
iter 000030/000283 | nll loss: 8.9777 | 0.7200s per loop
iter 000040/000283 | nll loss: 9.0203 | 0.6765s per loop
iter 000050/000283 | nll loss: 8.9536 | 0.6862s per loop
iter 000060/000283 | nll loss: 9.0127 | 0.7091s per loop
iter 000070/000283 | nll loss: 8.9877 | 0.6955s per loop
iter 000080/000283 | nll loss: 8.9956 | 0.6724s per loop
iter 000090/000283 | nll loss: 8.9738 | 0.6874s per loop
iter 000100/000283 | nll loss: 8.9674 | 0.6785s per loop
iter 000110/000283 | nll loss: 8.9566 | 0.7014s per loop
iter 000120/000283 | nll loss: 8.9499 | 0.6559s per loop
iter 000130/000283 | nll loss: 8.9551 | 0.6782s per loop
iter 000140/000283 | nll loss: 8.9362 | 0.6877s per loop
iter 000150/000283 | nll loss: 8.9579 | 0.6647s per loop
iter 000160/000283 | nll loss: 8.9551 | 0.6653s per loop
iter 000170/000283 | nll loss: 8.9449 | 0.6744s per loop
iter 000180/000283 | nll loss: 8.9393 | 0.6818s per loop
iter 000190/000283 | nll loss: 8.9611 | 0.6987s per loop
iter 000200/000283 | nll loss: 8.9496 | 0.6837s per loop
iter 000210/000283 | nll loss: 8.9566 | 0.7181s per loop
iter 000220/000283 | nll loss: 8.9461 | 0.6599s per loop
iter 000230/000283 | nll loss: 8.9222 | 0.6888s per loop
iter 000240/000283 | nll loss: 8.9631 | 0.6767s per loop
iter 000250/000283 | nll loss: 8.8994 | 0.6629s per loop
iter 000260/000283 | nll loss: 8.8755 | 0.6806s per loop
iter 000270/000283 | nll loss: 8.9348 | 0.6322s per loop
iter 000280/000283 | nll loss: 8.9198 | 0.6289s per loop
epoch 0009/1000 done, loss: 8.914334
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0009.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0009.ckpt
iter 000010/000283 | nll loss: 8.9281 | 1.0548s per loop
iter 000020/000283 | nll loss: 8.8794 | 0.7192s per loop
iter 000030/000283 | nll loss: 8.8750 | 0.6519s per loop
iter 000040/000283 | nll loss: 8.8668 | 0.6777s per loop
iter 000050/000283 | nll loss: 8.9076 | 0.6794s per loop
iter 000060/000283 | nll loss: 8.8922 | 0.6611s per loop
iter 000070/000283 | nll loss: 8.8823 | 0.6685s per loop
iter 000080/000283 | nll loss: 8.9253 | 0.6578s per loop
iter 000090/000283 | nll loss: 8.9446 | 0.6704s per loop
iter 000100/000283 | nll loss: 8.8859 | 0.6779s per loop
iter 000110/000283 | nll loss: 8.8660 | 0.6749s per loop
iter 000120/000283 | nll loss: 8.8879 | 0.6633s per loop
iter 000130/000283 | nll loss: 8.8518 | 0.6725s per loop
iter 000140/000283 | nll loss: 8.8905 | 0.6456s per loop
iter 000150/000283 | nll loss: 8.8256 | 0.6600s per loop
iter 000160/000283 | nll loss: 8.7983 | 0.6892s per loop
iter 000170/000283 | nll loss: 8.8583 | 0.6968s per loop
iter 000180/000283 | nll loss: 8.8309 | 0.6630s per loop
iter 000190/000283 | nll loss: 8.8289 | 0.6935s per loop
iter 000200/000283 | nll loss: 8.7976 | 0.6705s per loop
iter 000210/000283 | nll loss: 8.8516 | 0.6494s per loop
iter 000220/000283 | nll loss: 8.7993 | 0.6957s per loop
iter 000230/000283 | nll loss: 8.8188 | 0.6985s per loop
iter 000240/000283 | nll loss: 8.8152 | 0.6658s per loop
iter 000250/000283 | nll loss: 8.8209 | 0.6317s per loop
iter 000260/000283 | nll loss: 8.8001 | 0.6652s per loop
iter 000270/000283 | nll loss: 8.7585 | 0.6577s per loop
iter 000280/000283 | nll loss: 8.8333 | 0.6442s per loop
epoch 0010/1000 done, loss: 8.718858
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0010.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0010.ckpt
iter 000010/000283 | nll loss: 8.7574 | 1.0300s per loop
iter 000020/000283 | nll loss: 8.7417 | 0.6578s per loop
iter 000030/000283 | nll loss: 8.7971 | 0.7020s per loop
iter 000040/000283 | nll loss: 8.8070 | 0.6825s per loop
iter 000050/000283 | nll loss: 8.8062 | 0.7161s per loop
iter 000060/000283 | nll loss: 8.7871 | 0.6923s per loop
iter 000070/000283 | nll loss: 8.8049 | 0.6644s per loop
iter 000080/000283 | nll loss: 8.7025 | 0.6677s per loop
iter 000090/000283 | nll loss: 8.7245 | 0.6829s per loop
iter 000100/000283 | nll loss: 8.6592 | 0.6727s per loop
iter 000110/000283 | nll loss: 8.7317 | 0.6347s per loop
iter 000120/000283 | nll loss: 8.7678 | 0.6926s per loop
iter 000130/000283 | nll loss: 8.7052 | 0.6748s per loop
iter 000140/000283 | nll loss: 8.7087 | 0.6410s per loop
iter 000150/000283 | nll loss: 8.7343 | 0.6806s per loop
iter 000160/000283 | nll loss: 8.7137 | 0.6318s per loop
iter 000170/000283 | nll loss: 8.7420 | 0.6464s per loop
iter 000180/000283 | nll loss: 8.6846 | 0.6487s per loop
iter 000190/000283 | nll loss: 8.6471 | 0.6474s per loop
iter 000200/000283 | nll loss: 8.7630 | 0.6788s per loop
iter 000210/000283 | nll loss: 8.6959 | 0.6789s per loop
iter 000220/000283 | nll loss: 8.6838 | 0.6799s per loop
iter 000230/000283 | nll loss: 8.7150 | 0.6879s per loop
iter 000240/000283 | nll loss: 8.6754 | 0.6560s per loop
iter 000250/000283 | nll loss: 8.7042 | 0.6748s per loop
iter 000260/000283 | nll loss: 8.6606 | 0.6443s per loop
iter 000270/000283 | nll loss: 8.6945 | 0.6913s per loop
iter 000280/000283 | nll loss: 8.6661 | 0.6240s per loop
epoch 0011/1000 done, loss: 8.662417
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0011.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0011.ckpt
iter 000010/000283 | nll loss: 8.6084 | 1.0250s per loop
iter 000020/000283 | nll loss: 8.6658 | 0.6670s per loop
iter 000030/000283 | nll loss: 8.6650 | 0.6610s per loop
iter 000040/000283 | nll loss: 8.6596 | 0.6942s per loop
iter 000050/000283 | nll loss: 8.6008 | 0.7364s per loop
iter 000060/000283 | nll loss: 8.6360 | 0.6799s per loop
iter 000070/000283 | nll loss: 8.6802 | 0.6979s per loop
iter 000080/000283 | nll loss: 8.6443 | 0.6646s per loop
iter 000090/000283 | nll loss: 8.6237 | 0.6772s per loop
iter 000100/000283 | nll loss: 8.6475 | 0.6438s per loop
iter 000110/000283 | nll loss: 8.6705 | 0.6592s per loop
iter 000120/000283 | nll loss: 8.6332 | 0.6758s per loop
iter 000130/000283 | nll loss: 8.6270 | 0.6687s per loop
iter 000140/000283 | nll loss: 8.6222 | 0.6626s per loop
iter 000150/000283 | nll loss: 8.6541 | 0.6992s per loop
iter 000160/000283 | nll loss: 8.6595 | 0.6930s per loop
iter 000170/000283 | nll loss: 8.6157 | 0.6701s per loop
iter 000180/000283 | nll loss: 8.5750 | 0.6560s per loop
iter 000190/000283 | nll loss: 8.6727 | 0.6586s per loop
iter 000200/000283 | nll loss: 8.6484 | 0.6672s per loop
iter 000210/000283 | nll loss: 8.6581 | 0.6811s per loop
iter 000220/000283 | nll loss: 8.5545 | 0.6741s per loop
iter 000230/000283 | nll loss: 8.6099 | 0.6826s per loop
iter 000240/000283 | nll loss: 8.5581 | 0.6652s per loop
iter 000250/000283 | nll loss: 8.6314 | 0.6708s per loop
iter 000260/000283 | nll loss: 8.5724 | 0.6397s per loop
iter 000270/000283 | nll loss: 8.5565 | 0.6342s per loop
iter 000280/000283 | nll loss: 8.6172 | 0.6125s per loop
epoch 0012/1000 done, loss: 8.614071
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0012.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0012.ckpt
iter 000010/000283 | nll loss: 8.5596 | 1.0366s per loop
iter 000020/000283 | nll loss: 8.5534 | 0.6755s per loop
iter 000030/000283 | nll loss: 8.5789 | 0.7471s per loop
iter 000040/000283 | nll loss: 8.5627 | 0.6810s per loop
iter 000050/000283 | nll loss: 8.5268 | 0.7148s per loop
iter 000060/000283 | nll loss: 8.5698 | 0.7208s per loop
iter 000070/000283 | nll loss: 8.6456 | 0.7110s per loop
iter 000080/000283 | nll loss: 8.5624 | 0.6860s per loop
iter 000090/000283 | nll loss: 8.6518 | 0.6586s per loop
iter 000100/000283 | nll loss: 8.5774 | 0.6683s per loop
iter 000110/000283 | nll loss: 8.6006 | 0.6710s per loop
iter 000120/000283 | nll loss: 8.6147 | 0.6959s per loop
iter 000130/000283 | nll loss: 8.5548 | 0.6477s per loop
iter 000140/000283 | nll loss: 8.6024 | 0.6405s per loop
iter 000150/000283 | nll loss: 8.6270 | 0.6655s per loop
iter 000160/000283 | nll loss: 8.5459 | 0.6831s per loop
iter 000170/000283 | nll loss: 8.5863 | 0.6628s per loop
iter 000180/000283 | nll loss: 8.6133 | 0.6812s per loop
iter 000190/000283 | nll loss: 8.5190 | 0.6873s per loop
iter 000200/000283 | nll loss: 8.4944 | 0.6625s per loop
iter 000210/000283 | nll loss: 8.5818 | 0.6622s per loop
iter 000220/000283 | nll loss: 8.5596 | 0.6607s per loop
iter 000230/000283 | nll loss: 8.5030 | 0.6819s per loop
iter 000240/000283 | nll loss: 8.5530 | 0.6837s per loop
iter 000250/000283 | nll loss: 8.5772 | 0.6831s per loop
iter 000260/000283 | nll loss: 8.5721 | 0.6662s per loop
iter 000270/000283 | nll loss: 8.6146 | 0.6733s per loop
iter 000280/000283 | nll loss: 8.5129 | 0.6078s per loop
